cadence,wall_s,run_id,condition,seed,fault_type,fault_robot,fault_step,points_believed_visited,points_truly_visited,points_falsely_reported,points_invalidated,points_visited,points_total,points_unreachable,mission_success,duration_s,total_energy_j,energy_per_point_j,energy_per_m2_j,energy_drive_j,energy_turn_j,energy_sense_j,energy_compute_j,energy_comms_j,distance_total_m,collisions,robots_alive_at_end,coverage_pct,surface_f1,observed_error_pct,map_reporter,union_coverage_pct,union_surface_f1,union_observed_error_pct,deviations_injected,deviations_detected,mean_detection_time_s,fault_detected,detection_latency_s,false_positives,quarantines_correct,quarantines_wrong,cells_restored,points_reallocated,duplicated_coverage_pct,contact_fraction
50,140.1,C3_s21,C3,21,wrong_position,1,2393,37,27,10,0,37,40,1,0,732.7,9359.3,253.0,2.666,2879.9,721.6,4397.4,1319.0,41.3,701.2,987,3,99.09,0.6928,2.731,0,99.16,0.6806,2.731,8,8,97.5,0,-1,1,0,0,0,0,37.74,0.9062
50,39.4,C3_s22,C3,22,wrong_position,1,1052,40,30,10,0,40,40,0,1,413.2,6466.5,161.7,1.795,2777.4,441.3,2480.4,743.9,23.5,691.2,62,3,98.74,0.6782,3.476,0,98.78,0.6725,3.324,7,5,122.0,0,-1,1,0,0,0,0,33.65,0.8423
50,126.7,C3_s42,C3,42,wrong_position,1,1023,39,32,7,0,39,40,0,0,490.3,7030.0,180.3,2.118,2645.1,531.2,2943.0,882.7,27.9,661.3,0,3,99.01,0.6578,3.095,0,99.05,0.6577,3.035,5,2,25.0,0,-1,0,0,0,0,0,36.97,0.8636
100,54.3,C1_s1,C1,1,none,-1,-1,40,40,0,0,40,40,0,1,341.1,5271.4,131.8,1.672,2236.2,352.5,2048.4,614.2,20.1,557.2,41,3,99.32,0.7047,0.796,0,99.33,0.7044,0.787,7,6,125.8,-1,-1,0,0,0,0,0,39.63,0.9082
100,137.3,C1_s2,C1,2,none,-1,-1,40,40,0,0,40,40,0,1,423.1,6220.8,155.5,1.739,2580.7,314.0,2539.8,761.8,24.6,645.2,0,3,99.13,0.7184,0.849,0,99.14,0.7187,0.839,7,6,130.8,-1,-1,0,0,0,0,0,33.2,0.7485
100,38.5,C1_s3,C1,3,none,-1,-1,40,40,0,0,40,40,0,1,336.3,5243.9,131.1,1.772,2289.1,310.7,2019.6,605.5,19.0,572.3,0,3,99.28,0.701,0.947,0,99.27,0.7015,0.933,8,5,119.0,-1,-1,0,0,0,0,0,39.03,0.8284
100,136.8,C1_s4,C1,4,none,-1,-1,39,39,0,0,39,40,1,1,454.7,6473.5,166.0,2.171,2476.8,423.6,2728.8,818.6,25.7,618.8,185,3,99.23,0.7053,0.888,0,99.24,0.7054,0.882,6,6,152.5,-1,-1,0,0,0,0,0,43.72,0.9763
100,55.4,C1_s5,C1,5,none,-1,-1,36,36,0,0,36,40,0,0,410.2,6211.1,172.5,1.956,2554.3,432.4,2462.4,738.5,23.5,577.6,1465,3,99.29,0.7105,0.974,0,99.16,0.7145,0.965,8,7,117.9,-1,-1,0,0,0,0,0,31.74,0.7711
100,24.5,C1_s7,C1,7,none,-1,-1,40,40,0,0,40,40,0,1,336.2,5273.6,131.8,1.425,2346.9,284.6,2017.8,605.3,19.0,586.7,0,3,99.41,0.7007,0.596,0,99.07,0.6776,1.342,6,6,75.0,-1,-1,0,0,0,0,0,27.07,0.674
100,484.2,C1_s11,C1,11,none,-1,-1,39,39,0,0,39,40,1,0,732.6,9502.8,243.7,2.902,2361.5,1383.7,4397.4,1318.9,41.3,590.3,68,3,99.27,0.6933,0.907,0,99.29,0.6933,0.881,5,3,85.0,-1,-1,0,0,0,0,0,30.58,0.7718
100,91.5,C1_s13,C1,13,none,-1,-1,40,40,0,0,40,40,0,1,369.5,5541.9,138.5,1.786,2332.8,305.1,2217.6,665.3,21.2,583.2,0,3,99.11,0.6885,1.207,0,99.14,0.6882,1.177,5,4,166.1,-1,-1,0,0,0,0,0,40.01,0.8456
100,97.4,C1_s42,C1,42,none,-1,-1,40,40,0,0,40,40,0,1,452.1,6849.9,171.2,2.108,2883.0,412.8,2714.4,814.0,25.7,718.8,41,3,99.06,0.6907,1.409,0,99.1,0.6897,1.395,5,3,51.7,-1,-1,0,0,0,0,0,44.12,0.9396
100,201.9,C1_s2024,C1,2024,none,-1,-1,38,38,0,0,38,39,1,1,512.8,7158.6,188.4,2.017,2663.7,464.7,3078.0,923.2,29.0,665.1,248,3,99.02,0.707,1.129,0,99.07,0.7059,1.08,6,6,153.3,-1,-1,0,0,0,0,0,51.51,0.9356
50,55.6,C1_s1,C1,1,none,-1,-1,40,40,0,0,40,40,0,1,341.1,5271.4,131.8,1.672,2236.2,352.5,2048.4,614.2,20.1,557.2,41,3,99.32,0.7047,0.796,0,99.33,0.7044,0.787,7,6,125.8,-1,-1,0,0,0,0,0,39.63,0.9082
50,137.5,C1_s2,C1,2,none,-1,-1,40,40,0,0,40,40,0,1,423.1,6220.8,155.5,1.739,2580.7,314.0,2539.8,761.8,24.6,645.2,0,3,99.13,0.7184,0.849,0,99.14,0.7187,0.839,7,6,130.8,-1,-1,0,0,0,0,0,33.2,0.7485
50,41.3,C1_s3,C1,3,none,-1,-1,40,40,0,0,40,40,0,1,336.3,5243.9,131.1,1.772,2289.1,310.7,2019.6,605.5,19.0,572.3,0,3,99.28,0.701,0.947,0,99.27,0.7015,0.933,8,5,119.0,-1,-1,0,0,0,0,0,39.03,0.8284
50,136.2,C1_s4,C1,4,none,-1,-1,39,39,0,0,39,40,1,1,454.7,6473.5,166.0,2.171,2476.8,423.6,2728.8,818.6,25.7,618.8,185,3,99.23,0.7053,0.888,0,99.24,0.7054,0.882,6,6,152.5,-1,-1,0,0,0,0,0,43.72,0.9763
50,56.1,C1_s5,C1,5,none,-1,-1,36,36,0,0,36,40,0,0,410.2,6211.1,172.5,1.956,2554.3,432.4,2462.4,738.5,23.5,577.6,1465,3,99.29,0.7105,0.974,0,99.16,0.7145,0.965,8,7,117.9,-1,-1,0,0,0,0,0,31.74,0.7711
50,24.5,C1_s7,C1,7,none,-1,-1,40,40,0,0,40,40,0,1,336.2,5273.6,131.8,1.425,2346.9,284.6,2017.8,605.3,19.0,586.7,0,3,99.41,0.7007,0.596,0,99.07,0.6776,1.342,6,6,75.0,-1,-1,0,0,0,0,0,27.07,0.674
50,488.7,C1_s11,C1,11,none,-1,-1,39,39,0,0,39,40,1,0,732.6,9502.8,243.7,2.902,2361.5,1383.7,4397.4,1318.9,41.3,590.3,68,3,99.27,0.6933,0.907,0,99.29,0.6933,0.881,5,3,85.0,-1,-1,0,0,0,0,0,30.58,0.7718
50,91.5,C1_s13,C1,13,none,-1,-1,40,40,0,0,40,40,0,1,369.5,5541.9,138.5,1.786,2332.8,305.1,2217.6,665.3,21.2,583.2,0,3,99.11,0.6885,1.207,0,99.14,0.6882,1.177,5,4,166.1,-1,-1,0,0,0,0,0,40.01,0.8456
50,99.4,C1_s42,C1,42,none,-1,-1,40,40,0,0,40,40,0,1,452.1,6849.9,171.2,2.108,2883.0,412.8,2714.4,814.0,25.7,718.8,41,3,99.06,0.6907,1.409,0,99.1,0.6897,1.395,5,3,51.7,-1,-1,0,0,0,0,0,44.12,0.9396
50,203.8,C1_s2024,C1,2024,none,-1,-1,38,38,0,0,38,39,1,1,512.8,7158.6,188.4,2.017,2663.7,464.7,3078.0,923.2,29.0,665.1,248,3,99.02,0.707,1.129,0,99.07,0.7059,1.08,6,6,153.3,-1,-1,0,0,0,0,0,51.51,0.9356
