displacement_m,run_id,condition,seed,fault_type,fault_robot,fault_step,points_believed_visited,points_truly_visited,points_falsely_reported,points_invalidated,points_visited,points_total,points_unreachable,mission_success,duration_s,total_energy_j,energy_per_point_j,energy_per_m2_j,energy_drive_j,energy_turn_j,energy_sense_j,energy_compute_j,energy_comms_j,distance_total_m,collisions,robots_alive_at_end,coverage_pct,surface_f1,observed_error_pct,map_reporter,union_coverage_pct,union_surface_f1,union_observed_error_pct,deviations_injected,deviations_detected,mean_detection_time_s,fault_detected,detection_latency_s,false_positives,quarantines_correct,quarantines_wrong,cells_restored,points_reallocated,duplicated_coverage_pct,contact_fraction
4.0,C3_s12,C3,12,wrong_position,1,577,33,33,2,7,33,40,0,0,613.1,8816.8,267.2,2.536,3197.8,534.2,3679.2,1103.8,301.8,791.8,171,3,82.47,0.4197,18.404,0,98.72,0.6458,3.104,7,6,215.8,1,252.3,0,2,0,173368,1,53.22,0.9096
4.0,C3_s21,C3,21,wrong_position,1,2393,38,29,9,0,38,40,1,0,659.7,8937.1,235.2,2.711,2870.4,597.7,3960.0,1187.6,321.3,697.1,710,3,99.13,0.679,3.117,0,99.18,0.677,3.056,8,8,97.5,0,-1,1,0,0,0,0,41.46,0.8792
4.0,C3_s22,C3,22,wrong_position,1,1052,40,30,10,0,40,40,0,1,440.7,6960.5,174.0,1.933,2842.2,454.9,2646.0,793.4,224.0,710.5,0,3,98.71,0.6699,3.768,0,98.76,0.6706,3.728,7,7,190.7,0,-1,1,0,0,0,0,40.91,0.7903
4.0,C3_s42,C3,42,wrong_position,1,1023,39,32,7,0,39,40,0,0,490.3,7233.8,185.5,2.181,2656.5,508.1,2943.0,882.7,243.4,662.4,179,3,98.9,0.6532,3.042,0,98.94,0.6493,3.011,5,2,25.0,0,-1,0,0,0,0,0,37.11,0.8939
6.0,C3_s4,C3,4,wrong_position,1,1064,38,32,6,0,38,40,1,0,500.8,7261.2,191.1,2.448,2518.6,581.9,3006.0,901.6,253.1,627.3,348,3,99.24,0.6775,1.652,0,99.26,0.6753,1.643,6,5,148.0,0,-1,0,0,0,0,0,40.57,0.9604
6.0,C3_s6,C3,6,wrong_position,1,1187,39,31,8,0,39,40,0,0,567.7,7977.5,204.6,2.449,2782.1,483.6,3407.4,1022.0,282.3,664.2,739,3,99.07,0.6725,3.024,0,99.11,0.6738,2.991,7,3,161.7,0,-1,0,0,0,0,0,54.79,0.936
6.0,C3_s10,C3,10,wrong_position,1,574,38,26,12,0,38,40,0,0,950.0,13676.9,359.9,3.81,3767.9,2030.9,5700.6,1710.2,467.3,940.0,41,3,98.94,0.6737,3.237,0,99.07,0.664,3.172,8,5,166.0,1,272.6,1,0,0,0,0,45.57,0.9668
6.0,C3_s12,C3,12,wrong_position,1,577,33,29,6,7,33,40,0,0,540.0,7662.6,232.2,2.574,2699.3,476.9,3241.8,972.2,272.5,669.5,109,3,81.17,0.402,25.234,0,98.55,0.6428,3.127,7,5,232.0,1,242.3,0,2,0,169466,0,42.57,0.8731
6.0,C3_s21,C3,21,wrong_position,1,2393,37,27,10,0,37,40,1,0,732.7,9678.1,261.6,2.757,2879.9,721.6,4397.4,1319.0,360.1,701.2,987,3,99.09,0.6928,2.731,0,99.16,0.6806,2.731,8,8,97.5,0,-1,1,0,0,0,0,37.74,0.9062
6.0,C3_s22,C3,22,wrong_position,1,1052,40,30,10,0,40,40,0,1,413.2,6647.6,166.2,1.845,2777.4,441.3,2480.4,743.9,204.6,691.2,62,3,98.74,0.6782,3.476,0,98.78,0.6725,3.324,7,5,122.0,0,-1,1,0,0,0,0,33.65,0.8423
6.0,C3_s42,C3,42,wrong_position,1,1023,39,32,7,0,39,40,0,0,490.3,7245.5,185.8,2.183,2645.1,531.2,2943.0,882.7,243.4,661.3,0,3,99.01,0.6578,3.095,0,99.05,0.6577,3.035,5,2,25.0,0,-1,0,0,0,0,0,36.97,0.8636
12.0,C3_s4,C3,4,wrong_position,1,1064,39,33,6,0,39,40,1,0,515.9,7313.5,187.5,2.53,2497.2,538.3,3096.0,928.8,253.2,624.2,44,3,99.24,0.6769,2.329,0,99.23,0.6763,2.341,6,3,71.7,0,-1,0,0,0,0,0,33.6,0.9231
12.0,C3_s6,C3,6,wrong_position,1,1187,40,34,6,0,40,40,0,1,631.9,9197.2,229.9,2.649,3222.8,732.7,3792.6,1137.6,311.6,782.2,729,3,98.91,0.6588,4.723,0,99.07,0.6493,4.625,7,3,161.7,1,461.3,0,0,0,0,1,72.24,0.7585
12.0,C3_s10,C3,10,wrong_position,1,574,18,19,0,12,18,40,0,0,542.5,7953.3,441.9,3.177,2181.4,1266.5,3256.2,976.7,272.5,539.1,284,3,75.51,0.352,38.257,0,99.58,0.6676,2.895,8,5,159.0,1,382.6,0,2,0,221542,0,48.77,1.0
12.0,C3_s12,C3,12,wrong_position,1,577,31,33,0,5,31,40,0,0,536.5,7714.1,248.8,2.58,2693.9,571.3,3220.2,965.9,262.9,657.2,371,3,76.66,0.3753,28.786,0,98.74,0.6675,3.815,7,5,259.0,1,382.3,0,2,0,211038,1,52.37,0.9244
12.0,C3_s21,C3,21,wrong_position,1,2393,38,29,9,0,38,40,1,0,650.3,8785.4,231.2,2.48,2827.5,563.6,3902.4,1170.7,321.2,687.7,735,3,98.94,0.6981,2.732,0,98.98,0.7012,2.682,8,8,97.5,0,-1,1,0,0,0,0,32.08,0.8193
12.0,C3_s22,C3,22,wrong_position,1,1052,39,34,5,0,39,40,0,0,432.3,6935.5,177.8,1.907,2745.7,601.6,2595.6,778.3,214.3,685.9,11,3,98.79,0.6863,3.429,0,98.8,0.687,3.363,7,6,145.0,0,-1,0,0,0,0,0,36.86,0.7989
12.0,C3_s42,C3,42,wrong_position,1,1023,39,38,1,0,39,40,0,0,540.5,7726.6,198.1,2.305,2794.4,443.0,3243.6,973.1,272.6,691.9,352,3,99.2,0.66,2.514,0,99.27,0.6595,2.466,5,2,25.0,0,-1,0,0,0,0,0,52.97,0.9664
24.0,C3_s4,C3,4,wrong_position,1,1064,40,33,7,0,40,40,1,1,349.8,5653.5,141.3,1.908,2401.0,346.8,2100.6,629.8,175.3,600.3,0,3,99.37,0.6815,2.433,0,99.05,0.6598,3.26,6,3,71.7,0,-1,0,0,0,0,0,30.94,0.8818
24.0,C3_s6,C3,6,wrong_position,1,1187,37,32,5,0,37,40,0,0,806.0,10310.1,278.7,2.901,2637.3,986.2,4836.6,1451.0,399.0,644.9,851,3,99.03,0.6513,5.312,0,99.16,0.6664,4.809,7,4,160.0,0,-1,0,0,0,0,0,50.49,0.7819
24.0,C3_s10,C3,10,wrong_position,1,574,38,33,5,0,38,40,0,0,906.9,12918.2,340.0,3.508,3865.7,1528.9,5443.2,1632.6,447.8,961.3,654,3,98.81,0.6617,3.744,0,98.9,0.646,4.02,8,6,280.8,1,662.6,2,0,0,0,0,32.63,0.902
24.0,C3_s12,C3,12,wrong_position,1,577,38,40,0,2,38,40,0,0,545.4,8211.1,216.1,2.662,2926.2,756.2,3274.2,981.9,272.6,727.6,82,3,80.96,0.4091,22.262,0,98.84,0.6852,3.404,7,5,207.0,1,252.3,1,2,0,127732,1,53.2,0.8045
24.0,C3_s21,C3,21,wrong_position,1,2393,38,29,9,0,38,40,1,0,661.7,9004.9,237.0,2.543,2878.9,633.1,3970.8,1191.2,330.9,695.0,760,3,99.04,0.69,3.242,0,99.04,0.6882,3.244,8,8,97.5,0,-1,1,0,0,0,0,37.32,0.8158
24.0,C3_s22,C3,22,wrong_position,1,1052,40,40,0,0,40,40,0,1,535.3,8400.9,210.0,2.319,3143.7,817.4,3213.0,963.7,263.0,785.6,43,3,98.92,0.7118,2.173,0,98.95,0.7006,3.056,7,7,159.3,1,394.8,2,0,0,0,0,46.95,0.6636
24.0,C3_s42,C3,42,wrong_position,1,1023,40,30,10,0,40,40,0,1,355.2,5584.1,139.6,1.732,2260.8,375.4,2133.0,639.5,175.4,565.0,10,3,99.15,0.6441,2.925,0,99.09,0.6439,4.077,5,2,25.0,0,-1,0,0,0,0,0,31.98,0.9167
